2019-04-16 07:25:51,159 INFO main - command line arguments: [-jvm4testexecution  /usr/lib/jvm/java-1.8.0-openjdk-amd64/bin  -mode  jmutrepair  -scope  package  -srcjavafolder  /src/java/  -srctestfolder  /src/test/  -binjavafolder  /target/classes/  -bintestfolder  /target/test-classes/  -location  /home/jan_gerling/astor/defect4j_tests/math_58/  -dependencies  ./examples/libs/junit-4.4.jar  -flthreshold  0.5  -maxtime  100  -stopfirst  true]
2019-04-16 07:25:54,127 INFO main - -Executing Gzoltar classpath: /home/jan_gerling/astor/./outputMutation/AstorMain-math_58//bin//default from 259 classes with test cases
2019-04-16 07:25:54,138 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - Gzoltar fault localization: min susp value parameter: 0.5
2019-04-16 07:25:56,440 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - -gz-Adding classpath: [/home/jan_gerling/astor/./examples/libs/junit-4.4.jar, /home/jan_gerling/astor/./outputMutation/AstorMain-math_58//bin//default]
2019-04-16 07:30:13,797 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - Test failt: org.apache.commons.math.util.FastMathTest#checkMissingFastMathClasses
2019-04-16 07:30:13,800 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - Test failt: org.apache.commons.math.optimization.fitting.GaussianFitterTest#testMath519
2019-04-16 07:30:13,805 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - Gzoltar Test Result Total:2354, fails: 2, GZoltar suspicious 19964
2019-04-16 07:30:13,835 INFO fr.inria.astor.core.faultlocalization.GZoltarFaultLocalization - Gzoltar found: 2 with susp > 0.5, we consider: 2
2019-04-16 07:30:13,877 INFO main - building model: /home/jan_gerling/astor/./outputMutation/AstorMain-math_58//src//default, compliance level: 8
2019-04-16 07:30:35,243 INFO main - 
---- Initial suspicious size: 0
2019-04-16 07:30:35,401 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 168, file MathException.java
2019-04-16 07:30:35,590 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 99, file RombergIntegrator.java
2019-04-16 07:30:35,592 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 96, file RombergIntegrator.java
2019-04-16 07:30:35,592 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 114, file RombergIntegrator.java
2019-04-16 07:30:35,607 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 74, file SimpsonIntegrator.java
2019-04-16 07:30:35,608 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 89, file SimpsonIntegrator.java
2019-04-16 07:30:35,609 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 85, file SimpsonIntegrator.java
2019-04-16 07:30:35,610 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 105, file SimpsonIntegrator.java
2019-04-16 07:30:35,619 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 81, file TrapezoidIntegrator.java
2019-04-16 07:30:35,620 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 120, file TrapezoidIntegrator.java
2019-04-16 07:30:35,620 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 116, file TrapezoidIntegrator.java
2019-04-16 07:30:35,635 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 135, file TrapezoidIntegrator.java
2019-04-16 07:30:35,637 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 66, file UnivariateRealIntegratorImpl.java
2019-04-16 07:30:35,638 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 107, file UnivariateRealIntegratorImpl.java
2019-04-16 07:30:35,638 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 158, file UnivariateRealIntegratorImpl.java
2019-04-16 07:30:35,643 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 171, file UnivariateRealIntegratorImpl.java
2019-04-16 07:30:35,647 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 378, file BicubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,647 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 381, file BicubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,666 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 419, file BicubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,666 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 429, file BicubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,667 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 439, file BicubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,667 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 449, file BicubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,669 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 459, file BicubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,675 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 101, file BicubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,685 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 104, file BicubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,686 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 107, file BicubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,686 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 110, file BicubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,690 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 113, file BicubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,693 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 128, file BicubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,698 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 131, file BicubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,701 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 134, file BicubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,702 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 137, file BicubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,707 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 160, file BicubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,722 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 164, file BicubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,722 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 226, file BicubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,723 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 231, file BicubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,723 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 235, file BicubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,723 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 273, file BicubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,724 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 279, file BicubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,726 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 39, file BicubicSplineInterpolator.java
2019-04-16 07:30:35,726 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 42, file BicubicSplineInterpolator.java
2019-04-16 07:30:35,726 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 58, file BicubicSplineInterpolator.java
2019-04-16 07:30:35,728 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 44, file LinearInterpolator.java
2019-04-16 07:30:35,728 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 48, file LinearInterpolator.java
2019-04-16 07:30:35,736 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 146, file LoessInterpolator.java
2019-04-16 07:30:35,736 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 151, file LoessInterpolator.java
2019-04-16 07:30:35,736 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 205, file LoessInterpolator.java
2019-04-16 07:30:35,737 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 211, file LoessInterpolator.java
2019-04-16 07:30:35,737 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 221, file LoessInterpolator.java
2019-04-16 07:30:35,739 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 225, file LoessInterpolator.java
2019-04-16 07:30:35,740 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 231, file LoessInterpolator.java
2019-04-16 07:30:35,740 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 256, file LoessInterpolator.java
2019-04-16 07:30:35,741 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 266, file LoessInterpolator.java
2019-04-16 07:30:35,744 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 304, file LoessInterpolator.java
2019-04-16 07:30:35,745 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 318, file LoessInterpolator.java
2019-04-16 07:30:35,745 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 331, file LoessInterpolator.java
2019-04-16 07:30:35,756 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 337, file LoessInterpolator.java
2019-04-16 07:30:35,757 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 367, file LoessInterpolator.java
2019-04-16 07:30:35,758 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 401, file LoessInterpolator.java
2019-04-16 07:30:35,761 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 104, file MicrosphereInterpolatingFunction.java
2019-04-16 07:30:35,761 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 151, file MicrosphereInterpolatingFunction.java
2019-04-16 07:30:35,763 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 155, file MicrosphereInterpolatingFunction.java
2019-04-16 07:30:35,763 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 158, file MicrosphereInterpolatingFunction.java
2019-04-16 07:30:35,763 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 161, file MicrosphereInterpolatingFunction.java
2019-04-16 07:30:35,764 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 172, file MicrosphereInterpolatingFunction.java
2019-04-16 07:30:35,764 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 175, file MicrosphereInterpolatingFunction.java
2019-04-16 07:30:35,764 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 209, file MicrosphereInterpolatingFunction.java
2019-04-16 07:30:35,765 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 228, file MicrosphereInterpolatingFunction.java
2019-04-16 07:30:35,779 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 72, file MicrosphereInterpolator.java
2019-04-16 07:30:35,780 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 75, file MicrosphereInterpolator.java
2019-04-16 07:30:35,786 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 76, file SmoothingPolynomialBicubicSplineInterpolator.java
2019-04-16 07:30:35,786 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 79, file SmoothingPolynomialBicubicSplineInterpolator.java
2019-04-16 07:30:35,786 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 87, file SmoothingPolynomialBicubicSplineInterpolator.java
2019-04-16 07:30:35,788 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 68, file SplineInterpolator.java
2019-04-16 07:30:35,788 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 72, file SplineInterpolator.java
2019-04-16 07:30:35,793 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 450, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,795 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 453, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,795 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 456, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,840 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 160, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,841 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 163, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,841 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 166, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,842 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 169, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,842 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 172, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,843 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 175, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,844 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 178, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,844 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 181, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,844 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 184, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,847 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 202, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,847 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 205, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,848 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 208, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,849 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 211, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,850 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 214, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,850 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 217, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,851 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 220, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,856 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 223, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,858 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 229, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,869 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 232, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,870 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 235, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,878 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 238, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,879 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 241, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,881 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 244, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,882 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 247, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,884 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 250, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,885 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 311, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,885 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 315, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,886 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 319, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,886 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 338, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,887 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 344, file TricubicSplineInterpolatingFunction.java
2019-04-16 07:30:35,892 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 38, file TricubicSplineInterpolator.java
2019-04-16 07:30:35,892 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 41, file TricubicSplineInterpolator.java
2019-04-16 07:30:35,892 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 59, file TricubicSplineInterpolator.java
2019-04-16 07:30:35,894 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 64, file TricubicSplineInterpolator.java
2019-04-16 07:30:35,908 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 67, file PolynomialFunction.java
2019-04-16 07:30:35,908 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 178, file PolynomialFunction.java
2019-04-16 07:30:35,909 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 238, file PolynomialFunction.java
2019-04-16 07:30:35,909 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 286, file PolynomialFunction.java
2019-04-16 07:30:35,909 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 285, file PolynomialFunction.java
2019-04-16 07:30:35,909 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 298, file PolynomialFunction.java
2019-04-16 07:30:35,909 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 304, file PolynomialFunction.java
2019-04-16 07:30:35,909 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 297, file PolynomialFunction.java
2019-04-16 07:30:35,909 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 310, file PolynomialFunction.java
2019-04-16 07:30:35,910 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 316, file PolynomialFunction.java
2019-04-16 07:30:35,910 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 295, file PolynomialFunction.java
2019-04-16 07:30:35,910 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 340, file PolynomialFunction.java
2019-04-16 07:30:35,910 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 342, file PolynomialFunction.java
2019-04-16 07:30:35,921 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 345, file PolynomialFunction.java
2019-04-16 07:30:35,924 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 78, file PolynomialFunctionLagrangeForm.java
2019-04-16 07:30:35,925 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 147, file PolynomialFunctionLagrangeForm.java
2019-04-16 07:30:35,925 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 172, file PolynomialFunctionLagrangeForm.java
2019-04-16 07:30:35,925 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 216, file PolynomialFunctionLagrangeForm.java
2019-04-16 07:30:35,925 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 236, file PolynomialFunctionLagrangeForm.java
2019-04-16 07:30:35,926 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 276, file PolynomialFunctionLagrangeForm.java
2019-04-16 07:30:35,926 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 314, file PolynomialFunctionLagrangeForm.java
2019-04-16 07:30:35,926 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 317, file PolynomialFunctionLagrangeForm.java
2019-04-16 07:30:35,928 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 140, file PolynomialFunctionNewtonForm.java
2019-04-16 07:30:35,928 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 215, file PolynomialFunctionNewtonForm.java
2019-04-16 07:30:35,941 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 219, file PolynomialFunctionNewtonForm.java
2019-04-16 07:30:35,943 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 101, file PolynomialSplineFunction.java
2019-04-16 07:30:35,943 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 105, file PolynomialSplineFunction.java
2019-04-16 07:30:35,943 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 109, file PolynomialSplineFunction.java
2019-04-16 07:30:35,944 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 133, file PolynomialSplineFunction.java
2019-04-16 07:30:35,944 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 137, file PolynomialSplineFunction.java
2019-04-16 07:30:35,944 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 143, file PolynomialSplineFunction.java
2019-04-16 07:30:35,947 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 199, file PolynomialsUtils.java
2019-04-16 07:30:35,951 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 171, file BaseAbstractUnivariateRealSolver.java
2019-04-16 07:30:35,952 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 76, file BisectionSolver.java
2019-04-16 07:30:35,953 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 84, file BisectionSolver.java
2019-04-16 07:30:35,969 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 93, file BrentSolver.java
2019-04-16 07:30:35,969 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 99, file BrentSolver.java
2019-04-16 07:30:35,970 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 104, file BrentSolver.java
2019-04-16 07:30:35,981 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 110, file BrentSolver.java
2019-04-16 07:30:35,982 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 115, file BrentSolver.java
2019-04-16 07:30:35,982 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 153, file BrentSolver.java
2019-04-16 07:30:35,983 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 165, file BrentSolver.java
2019-04-16 07:30:35,984 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 181, file BrentSolver.java
2019-04-16 07:30:35,985 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 192, file BrentSolver.java
2019-04-16 07:30:35,986 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 199, file BrentSolver.java
2019-04-16 07:30:35,986 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 169, file BrentSolver.java
2019-04-16 07:30:35,987 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 215, file BrentSolver.java
2019-04-16 07:30:35,987 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 213, file BrentSolver.java
2019-04-16 07:30:35,988 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 221, file BrentSolver.java
2019-04-16 07:30:35,993 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 98, file LaguerreSolver.java
2019-04-16 07:30:35,993 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 104, file LaguerreSolver.java
2019-04-16 07:30:36,005 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 109, file LaguerreSolver.java
2019-04-16 07:30:36,006 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 115, file LaguerreSolver.java
2019-04-16 07:30:36,006 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 120, file LaguerreSolver.java
2019-04-16 07:30:36,007 INFO main - --ModificationPoint:CtIfImpl, suspValue 0.0, line 161, file LaguerreSolver.java
